date,open,high,low,close,volume,money
2019-10-29,8.83,10.6,8.83,9.35,418493845.0,4059400321.0
2019-10-30,8.8,8.8,8.42,8.42,273352206.0,2320616294.0
2019-10-31,7.85,8.47,7.66,8.1,286873194.0,2286077392.0
2019-11-01,7.87,8.07,7.8,7.88,169178856.0,1336825882.0
2019-11-04,7.81,7.92,7.66,7.69,163286018.0,1266693767.0
2019-11-05,7.69,7.78,7.51,7.68,155242120.0,1184345773.0
2019-11-06,7.63,7.63,7.45,7.47,123989409.0,934589619.0
2019-11-07,7.46,7.6,7.46,7.5,84315250.0,634838541.0
2019-11-08,7.56,7.56,7.43,7.44,76684802.0,573972846.0
2019-11-11,7.4,7.4,7.18,7.19,96130522.0,700986893.0
2019-11-12,7.18,7.22,7.02,7.1,78603149.0,557485894.0
2019-11-13,7.07,7.08,6.93,6.93,79494890.0,556249904.0
2019-11-14,6.9,7.27,6.83,7.14,132649980.0,933603542.0
2019-11-15,7.05,7.14,6.93,6.95,75373286.0,529075401.0
2019-11-18,6.92,7.02,6.88,6.94,52198773.0,363056995.0
2019-11-19,6.94,7.06,6.92,7.03,60798673.0,425813619.0
2019-11-20,7.02,7.04,6.93,6.95,53353413.0,371981297.0
2019-11-21,6.92,6.96,6.9,6.92,38309325.0,265244733.0
2019-11-22,6.93,6.97,6.87,6.89,44143188.0,305350578.0
2019-11-25,6.9,7.02,6.88,6.98,58494718.0,406964233.0
2019-11-26,6.94,7.02,6.93,6.94,58493478.0,407453677.0
2019-11-27,6.91,6.91,6.76,6.77,78532533.0,535419253.0
2019-11-28,6.76,6.79,6.67,6.68,54337509.0,364736312.0
2019-11-29,6.67,6.72,6.63,6.65,38415104.0,255866984.0
2019-12-02,6.65,6.67,6.6,6.61,38975255.0,258548232.0
2019-12-03,6.59,6.59,6.53,6.58,35171494.0,230697680.0
2019-12-04,6.55,6.62,6.53,6.57,27595711.0,181464531.0
2019-12-05,6.58,6.67,6.56,6.64,44929135.0,296670173.0
2019-12-06,6.62,6.63,6.58,6.61,32992191.0,217770930.0
2019-12-09,6.62,6.65,6.6,6.64,36380642.0,241221190.0
2019-12-10,6.61,6.62,6.56,6.58,46394793.0,305170005.0
2019-12-11,6.56,6.61,6.55,6.58,36041933.0,237129090.0
2019-12-12,6.57,6.57,6.48,6.49,50280000.0,328011417.0
2019-12-13,6.51,6.58,6.49,6.57,63340372.0,414155025.0
2019-12-16,6.56,6.57,6.52,6.57,48747165.0,319083760.0
2019-12-17,6.58,7.07,6.56,6.92,210316973.0,1437600223.0
2019-12-18,6.85,6.93,6.78,6.83,115566078.0,791161760.0
2019-12-19,6.82,6.98,6.81,6.86,84184780.0,579540342.0
2019-12-20,6.85,7.03,6.83,6.92,107211390.0,743212796.0
2019-12-23,6.89,6.92,6.71,6.73,72555358.0,495364395.0
2019-12-24,6.76,6.78,6.68,6.74,40218262.0,270327101.0
2019-12-25,6.73,6.74,6.68,6.7,38453679.0,257601111.0
2019-12-26,6.7,6.73,6.67,6.73,38165577.0,255462864.0
2019-12-27,6.72,6.84,6.7,6.72,61412867.0,415148112.0
2019-12-30,6.66,6.71,6.56,6.71,58655101.0,389765019.74
2019-12-31,6.69,6.75,6.66,6.7,34065257.0,228308971.95
2020-01-02,6.81,6.86,6.76,6.77,76451217.0,519608791.23
2020-01-03,6.79,6.79,6.74,6.77,43983730.0,297443419.08
2020-01-06,6.75,6.8,6.71,6.75,48413073.0,326749046.68
2020-01-07,6.76,6.8,6.74,6.8,50340570.0,341134545.35
2020-01-08,6.78,6.78,6.68,6.69,54109459.0,364122846.76
2020-01-09,6.72,6.75,6.71,6.72,32001768.0,215216477.04
2020-01-10,6.74,6.75,6.69,6.72,25141739.0,168831418.28
2020-01-13,6.7,6.71,6.66,6.71,26902542.0,179832622.82
2020-01-14,6.71,6.72,6.69,6.69,23968022.0,160677776.25
2020-01-15,6.69,6.69,6.64,6.64,25931059.0,172642834.35
2020-01-16,6.66,6.66,6.6,6.6,24209618.0,160226869.95
2020-01-17,6.6,6.63,6.6,6.6,17877474.0,118202340.68
2020-01-20,6.6,6.62,6.58,6.62,20822852.0,137543796.85
2020-01-21,6.63,6.63,6.55,6.55,26792307.0,176235026.06
2020-01-22,6.55,6.56,6.51,6.53,25762907.0,168290098.9
2020-01-23,6.52,6.53,6.33,6.39,44223975.0,285122377.37
2020-02-03,5.75,5.79,5.75,5.75,46665293.0,268612319.75
2020-02-04,5.59,5.81,5.59,5.71,47944035.0,274029619.68
